artist_name,track_name,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration,loudness_transform
Backstreet Boys,Shape of My Heart,72,2000,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102,4,3.8348833333333334,-1.9440512795703135
Alexander Preston,Year 3000,0,2000,0.369,0.618,1,-10.126,1,0.0441,0.407,0.409,0.172,0.0615,124.576,4,2.478083333333333,-2.546315277916644
A Perfect Circle,Judith,67,2000,0.366,0.894,11,-4.682,0,0.0568,3.45e-05,0.17,0.267,0.304,82.305,3,4.1211166666666665,-1.9900637305286193
Y2dn,Year 3000,0,2000,0.899,0.44,1,-9.769,1,0.466,0.17,0.0,0.111,0.748,122.956,5,3.3340833333333335,-2.5179383788331924
Sam Cooke,Bring It On Home to Me,67,2000,0.523,0.402,0,-8.233,1,0.0305,0.778,0.0,0.432,0.675,70.863,4,2.7088833333333335,-2.3857306740807145
Ramon Tapia,Year 3000,0,2000,0.801,0.799,10,-7.446,0,0.0571,0.016,0.887,0.0656,0.341,126.002,4,7.730366666666667,-2.3105532626432224
Coldplay,Trouble,72,2000,0.565,0.546,11,-7.496,0,0.0314,0.189,0.0015,0.17,0.195,139.757,4,4.5571166666666665,-2.315501318260592
Andrew Hoyt,Year 3000,0,2000,0.807,0.565,1,-8.395,1,0.0668,0.757,1.7e-06,0.061,0.912,103.999,4,2.6945,-2.4005281673240098
Vanessa Amorosi,Absolutely Everybody,53,2000,0.67,0.955,1,-4.979,1,0.0858,0.289,0.0,0.124,0.857,122.975,4,3.743333333333333,-2.0298573123240753
Tom Hirsch Project,Year 3000,0,2000,0.539,0.821,9,-10.365,0,0.0328,0.00208,0.799,0.17,0.125,140.042,4,4.961083333333334,-2.564872431425882
Britney Spears,Stronger,68,2000,0.707,0.923,11,-3.957,1,0.0521,0.128,0.000437,0.273,0.842,108.049,4,3.3833333333333333,-1.8857050820705827
Mordab,3000 Years,0,2000,0.286,0.943,6,-5.173,1,0.214,4.77e-05,0.201,0.114,0.478,179.738,4,4.089366666666667,-2.0550207671381537
Limp Bizkit,Hot Dog,63,2000,0.6,0.938,1,-3.615,1,0.0701,0.00152,1.48e-05,0.369,0.597,101.183,4,3.8373333333333335,-1.8324214509469448
Busted,Year 3000,0,2000,0.57,0.77,11,-8.431,1,0.0471,0.0006,0.0,0.0831,0.832,107.013,4,3.2731166666666667,-2.403786973503013
Mötley Crüe,Dr. Feelgood,47,2000,0.53,0.951,2,-5.103,1,0.0602,0.000843,0.0124,0.27,0.428,110.987,4,4.83645,-2.046014015567317
Ramon Tapia,Year 3000,1,2000,0.801,0.799,10,-7.446,0,0.0571,0.016,0.887,0.0656,0.341,126.002,4,7.730366666666667,-2.3105532626432224
Powderfinger,Waiting For The Sun,47,2000,0.201,0.961,2,-5.234,1,0.0822,0.000525,0.294,0.329,0.154,109.135,4,3.9066666666666667,-2.062803900526813
